Executing C:\Users\User\Documents\Zemax\MACROS\RAYTRACE_ITERATE.ZPL.

Finds the result of a single ray trace on the imaging surface(number 131) on field number 1

Iterates over configurations 1 to 12,and wavelength numbers 1 to 9

(keep in mind that the configuration number corresponds to a diffraction order in the zemax file)
 configuration number	wavelength(micrometers)	       position x(mm)		   position y(mm)

   1.0000000000E+00	      7.3392277108E-01	   	     -4.5395060868E+01	      3.3101240505E+01
   1.0000000000E+00	      7.3525992669E-01	   	     -3.5730746868E+01	      3.2435472374E+01
   1.0000000000E+00	      7.3659708231E-01	   	     -2.5717623146E+01	      3.2013860036E+01
   1.0000000000E+00	      7.3793423792E-01	   	     -1.5279755336E+01	      3.1862247081E+01
   1.0000000000E+00	      7.3927139353E-01	   	     -4.3280476980E+00	      3.2016659555E+01
   1.0000000000E+00	      7.4060854914E-01	   	     7.2482161850E+00	      3.2527244022E+01
   1.0000000000E+00	      7.4194570475E-01	   	     1.9595429388E+01	      3.3465253359E+01
   1.0000000000E+00	      7.4328286036E-01	   	     3.2921746760E+01	      3.4936336083E+01
   1.0000000000E+00	      7.4462001597E-01	   	     4.7552615982E+01	      3.7108875086E+01
   2.0000000000E+00	      7.0854255814E-01	   	     -4.3628858872E+01	      2.4187994017E+01
   2.0000000000E+00	      7.0978805097E-01	   	     -3.4286064871E+01	      2.3593011045E+01
   2.0000000000E+00	      7.1103354381E-01	   	     -2.4606174114E+01	      2.3219266840E+01
   2.0000000000E+00	      7.1227903664E-01	   	     -1.4521207480E+01	      2.3091476383E+01
   2.0000000000E+00	      7.1352452948E-01	   	     -3.9511647383E+00	      2.3242936887E+01
   2.0000000000E+00	      7.1477002231E-01	   	     7.2030500405E+00	      2.3718774573E+01
   2.0000000000E+00	      7.1601551514E-01	   	     1.9071206703E+01	      2.4581475767E+01
   2.0000000000E+00	      7.1726100798E-01	   	     3.1834607339E+01	      2.5920939219E+01
   2.0000000000E+00	      7.1850650081E-01	   	     4.5768408904E+01	      2.7874631313E+01
   3.0000000000E+00	      6.8486235955E-01	   	     -4.1974595856E+01	      1.5989655082E+01
   3.0000000000E+00	      6.8602530173E-01	   	     -3.2925297603E+01	      1.5452306466E+01
   3.0000000000E+00	      6.8718824391E-01	   	     -2.3551359447E+01	      1.5117609167E+01
   3.0000000000E+00	      6.8835118609E-01	   	     -1.3791284315E+01	      1.5008952293E+01
   3.0000000000E+00	      6.8951412827E-01	   	     -3.5726261083E+00	      1.5157097528E+01
   3.0000000000E+00	      6.9067707045E-01	   	     7.1940225391E+00	      1.5602890305E+01
   3.0000000000E+00	      6.9184001262E-01	   	     1.8624732864E+01	      1.6401734844E+01
   3.0000000000E+00	      6.9300295480E-01	   	     3.0879294049E+01	      1.7631434284E+01
   3.0000000000E+00	      6.9416589698E-01	   	     4.4194520999E+01	      1.9407159590E+01
   4.0000000000E+00	      6.6270195652E-01	   	     -4.0532828663E+01	      8.4230372373E+00
   4.0000000000E+00	      6.6379029123E-01	   	     -3.1757923571E+01	      7.9317940189E+00
   4.0000000000E+00	      6.6487862595E-01	   	     -2.2671633961E+01	      7.6273723670E+00
   4.0000000000E+00	      6.6596696066E-01	   	     -1.3217996271E+01	      7.5317203499E+00
   4.0000000000E+00	      6.6705529537E-01	   	     -3.3311317039E+00	      7.6731796354E+00
   4.0000000000E+00	      6.6814363008E-01	   	     7.0698958676E+00	      8.0887583935E+00
   4.0000000000E+00	      6.6923196479E-01	   	     1.8089263978E+01	      8.8277847947E+00
   4.0000000000E+00	      6.7032029950E-01	   	     2.9868461305E+01	      9.9581096359E+00
   4.0000000000E+00	      6.7140863422E-01	   	     4.2612877566E+01	      1.1577466785E+01
   5.0000000000E+00	      6.4193263158E-01	   	     -3.9172594102E+01	      1.4064160692E+00
   5.0000000000E+00	      6.4295331468E-01	   	     -3.0652604425E+01	      9.5487993763E-01
   5.0000000000E+00	      6.4397399778E-01	   	     -2.1834148924E+01	      6.7657001480E-01
   5.0000000000E+00	      6.4499468089E-01	   	     -1.2665988879E+01	      5.9204026482E-01
   5.0000000000E+00	      6.4601536399E-01	   	     -3.0878935885E+00	      7.2744328126E-01
   5.0000000000E+00	      6.4703604709E-01	   	     6.9738006106E+00	      1.1164518496E+00
   5.0000000000E+00	      6.4805673019E-01	   	     1.7613169250E+01	      1.8032786484E+00
